@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric

@data

weather.symbolic,1,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,1,0,0,100,0,0,1,0.4,0.4,100,100,0.736966,0.736966,0,0.736966,0.736966,0,0,0,0,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,2,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,12,2,1,1,0,50,50,0,0,0.5,0.520008,100,100,2.122857,2.122857,0,1.061428,1.061428,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,882,2509,1819,100,100,?,?
weather.symbolic,2,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,12,2,1,1,0,50,50,0,0,0.5,0.520008,100,100,2.122857,2.122857,0,1.061428,1.061428,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,882,2509,1819,100,100,?,?
weather.symbolic,2,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,12,2,1,1,0,50,50,0,0,0.5,0.520008,100,100,2.122857,2.122857,0,1.061428,1.061428,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,882,2509,1819,100,100,?,?
weather.symbolic,2,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,12,2,1,1,0,50,50,0,0,0.5,0.520008,100,100,2.122857,2.122857,0,1.061428,1.061428,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,882,2509,1819,100,100,?,?
weather.symbolic,2,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,0,1,0,0,100,0,0,0.666667,0.666667,100,100,1.584963,1.584963,0,1.584963,1.584963,0,0,0,0,?,0,1,1,0,0,?,0,0,?,?,?,?,?,0,?,?,1,?,0,?,?,?,1,?,0,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,2,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,1,0,0,100,0,0,1,0.4,0.4,100,100,0.736966,0.736966,0,0.736966,0.736966,0,0,0,0,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,2,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,1,0,0,100,0,0,1,0.4,0.4,100,100,0.736966,0.736966,0,0.736966,0.736966,0,0,0,0,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,2,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,1,0,0,100,0,0,1,0.4,0.4,100,100,0.736966,0.736966,0,0.736966,0.736966,0,0,0,0,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,2,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,1,0,0,100,0,0,1,0.4,0.4,100,100,0.736966,0.736966,0,0.736966,0.736966,0,0,0,0,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,2,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,1,0,0,100,0,0,1,0.4,0.4,100,100,0.736966,0.736966,0,0.736966,0.736966,0,0,0,0,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,3,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,12,2,1,1,0,50,50,0,0,0.5,0.520008,100,100,2.122857,2.122857,0,1.061428,1.061428,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,882,2509,1819,100,100,?,?
weather.symbolic,3,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,12,2,1,1,0,50,50,0,0,0.5,0.520008,100,100,2.122857,2.122857,0,1.061428,1.061428,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,882,2509,1819,100,100,?,?
weather.symbolic,3,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,12,2,1,1,0,50,50,0,0,0.5,0.520008,100,100,2.122857,2.122857,0,1.061428,1.061428,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,882,2509,1819,100,100,?,?
weather.symbolic,3,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,12,2,1,1,0,50,50,0,0,0.5,0.520008,100,100,2.122857,2.122857,0,1.061428,1.061428,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,882,2509,1819,100,100,?,?
weather.symbolic,3,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,1,0,0,100,0,0,1,0.4,0.4,100,100,0.736966,0.736966,0,0.736966,0.736966,0,0,0,0,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,3,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,1,0,0,100,0,0,1,0.4,0.4,100,100,0.736966,0.736966,0,0.736966,0.736966,0,0,0,0,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,3,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,1,0,0,100,0,0,1,0.4,0.4,100,100,0.736966,0.736966,0,0.736966,0.736966,0,0,0,0,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,3,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,1,0,0,100,0,0,1,0.4,0.4,100,100,0.736966,0.736966,0,0.736966,0.736966,0,0,0,0,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,3,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,1,0,0,100,0,0,1,0.4,0.4,100,100,0.736966,0.736966,0,0.736966,0.736966,0,0,0,0,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0.016,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,3,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,13,1,0,1,0,0,100,0,0,0.666667,0.666667,100,100,1.584963,1.584963,0,1.584963,1.584963,0,0,0,0,?,0,1,1,0,0,?,0,0,?,?,?,?,?,0,?,?,1,?,0,?,?,?,1,?,0,0,0,0,0,0,0,882,2578,1750,100,100,?,?
weather.symbolic,4,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20201022.1541,12,2,1,1,0,50,50,0,0,0.5,0.520008,100,100,2.122857,2.122857,0,1.061428,1.061428,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.5,?,0.5,0,0,0,0,0,0,882,2509,1819,100,100,?,?
